Season Collected	Species	Year	Month	Date	Plot	Sex	Weight	Calibration correct	
2013	            DM	    2013	7	    16	    2	    F	na	    na	
2013	            DM	    2013	7	    16	    7   	M	33  	yes	
2013	            DM	    2013	7	    16	    3   	M	na  	yes	
2013	            DM	    2013	7	    16	    1	    M	na	    yes	
2013	            DM	    2013	7	    18	    3   	M	40  	yes	
2013	            DM	    2013	7	    18	    7   	M	48	    yes	
2013	            DM	    2013	7	    18  	4	    F	29  	yes	
2013	            DM	    2013	7	    18	    6	    F	37	    yes	
2013	            DO	    2013	8	    19	    8	    F	52	    yes	
2013	            DO	    2013	10  	17	    3	    F	33  	yes	
2013	            DO	    2013	10	    17	    3	    F	50  	yes	
2013               	DO	    2013	12  	10	    9	    F	40	    yes	
2013	            DO	    2013	12  	10	    1	    M	45	    yes	
2013	            DO	    2013	12	    11	    8	    F	41	    yes	
2013	            DS	    2013	11	    12	    9	    F	117	    yes	
2013	            DS  	2013	11	    13	    11	    F	126	    yes	
2013	            DS	    2013	11	    13	    17	    M	132	    no	
2013	DS	2013	11	13	14	F	113	no	
2013	DS	2013	11	13	11	F	122	yes	
2013	DS	2013	11	13	4	F	107	yes	
2013	DS	2013	11	13	4	F	115	yes	
2014	DM	2014	1	9	1	M	40	yes	
2014	DM	2014	1	9	1	F	36	yes	
2014	DM	2014	3	13	1	F	51	yes	
2014	DM	2014	3	13	1	F	44	yes	
2014	DS	2014	3	13	1	F	146	yes	
2014	NA	2014	1	8	2	na	na	na	
2014	DM	2014	1	8	2	M	44	yes	
2014	PF	2014	1	8	2	F	7	yes	
2014	DM	2014	1	8	2	M	45	yes	
2014	OT	2014	1	8	2	na	na	na	
2014	DS	2014	1	8	2	M	157	no	
2014	OX	2014	1	8	2	na	na	na	
2014	NA	2014	2	18	2	M	218	no	
2014	PF	2014	2	18	2	F	7	yes	
2014	DM	2014	2	18	2	M	52	yes	
2014	PF	na	    3	11	3	M	8	yes	
2014	NA	na	    4	8	3	F	na	na	
2014	na	na	    5	6	3	na	na	na	
2014	NA	na	    5  	18	3	F	182	yes	
2014	OT	na	    6	9	3	F	29	yes	
2014	NA	na	    7	8	3	F	115	yes	
2014	NA	na	    7	8	3	M	190	yes	
2014	DM	1978	1	8	4	F	37	yes	
2014	DM	1978	1	8	4	M	na	na	
2014	DM	1978	1	8	4	F	48	yes	
2014	DO	1978	1	8	4	M	52	yes	
2014	OL	1978	1	8	4	M	35	yes	
									
